date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:06:50	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Jan%202023%2008:36:51%20GMT	http://crsorsgi-govt.in/robots.txt		(from )
14:06:51	138629/138629	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202023%2008:36:50%20GMT	http://crsorsgi-govt.in/web/index.php/auth/birthCertificate/view/B/bWF4VExRZC9GTnhBWkhtZTNrdWhUZz09.php?id=19001&cont=Anjsjdn	C:/My%20Web%20Sites/L/crsorsgi-govt.in/web/index.php/auth/birthCertificate/view/B/bWF4VExRZC9GTnhBWkhtZTNrdWhUZz099b29.html	(from )
14:06:51	7942/7942	---M-Z	200	added ('OK')	text/css	date:Sat,%2024%20Dec%202022%2007:10:54%20GMT	http://crsorsgi-govt.in/web/index.php/auth/birthCertificate/view/css/style.css	C:/My%20Web%20Sites/L/crsorsgi-govt.in/web/index.php/auth/birthCertificate/view/css/style.css	(from http://crsorsgi-govt.in/web/index.php/auth/birthCertificate/view/B/bWF4VExRZC9GTnhBWkhtZTNrdWhUZz09.php?id=19001&cont=Anjsjdn)
14:06:52	1090/1090	---M-Z	200	added ('OK')	text/css	date:Sat,%2024%20Dec%202022%2007:10:54%20GMT	http://crsorsgi-govt.in/web/index.php/auth/birthCertificate/view/css/default.css	C:/My%20Web%20Sites/L/crsorsgi-govt.in/web/index.php/auth/birthCertificate/view/css/default.css	(from http://crsorsgi-govt.in/web/index.php/auth/birthCertificate/view/B/bWF4VExRZC9GTnhBWkhtZTNrdWhUZz09.php?id=19001&cont=Anjsjdn)
14:06:52	4068/4068	---M-Z	200	added ('OK')	text/css	date:Sat,%2024%20Dec%202022%2007:10:54%20GMT	http://crsorsgi-govt.in/web/index.php/auth/birthCertificate/view/css/main.css	C:/My%20Web%20Sites/L/crsorsgi-govt.in/web/index.php/auth/birthCertificate/view/css/main.css	(from http://crsorsgi-govt.in/web/index.php/auth/birthCertificate/view/B/bWF4VExRZC9GTnhBWkhtZTNrdWhUZz09.php?id=19001&cont=Anjsjdn)
14:06:52	59/59	---M--	200	added ('OK')	text/css	date:Sat,%2024%20Dec%202022%2007:10:54%20GMT	http://crsorsgi-govt.in/web/index.php/auth/birthCertificate/view/css/jquery.ui.all.css	C:/My%20Web%20Sites/L/crsorsgi-govt.in/web/index.php/auth/birthCertificate/view/css/jquery.ui.all.css	(from http://crsorsgi-govt.in/web/index.php/auth/birthCertificate/view/B/bWF4VExRZC9GTnhBWkhtZTNrdWhUZz09.php?id=19001&cont=Anjsjdn)
14:06:52	14845/14845	---M-Z	200	added ('OK')	text/css	date:Sat,%2024%20Dec%202022%2007:10:54%20GMT	http://crsorsgi-govt.in/web/index.php/auth/birthCertificate/view/css/jquery-ui-1.10.0.custom.css	C:/My%20Web%20Sites/L/crsorsgi-govt.in/web/index.php/auth/birthCertificate/view/css/jquery-ui-1.10.0.custom.css	(from http://crsorsgi-govt.in/web/index.php/auth/birthCertificate/view/B/bWF4VExRZC9GTnhBWkhtZTNrdWhUZz09.php?id=19001&cont=Anjsjdn)
14:06:53	24752/24752	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2024%20Dec%202022%2007:10:54%20GMT	http://crsorsgi-govt.in/web/index.php/auth/birthCertificate/view/js/mm_menu.js	C:/My%20Web%20Sites/L/crsorsgi-govt.in/web/index.php/auth/birthCertificate/view/js/mm_menu.js	(from http://crsorsgi-govt.in/web/index.php/auth/birthCertificate/view/B/bWF4VExRZC9GTnhBWkhtZTNrdWhUZz09.php?id=19001&cont=Anjsjdn)
14:06:55	2543/2543	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2024%20Dec%202022%2007:10:54%20GMT	http://crsorsgi-govt.in/web/index.php/auth/birthCertificate/view/js/json_parse.js	C:/My%20Web%20Sites/L/crsorsgi-govt.in/web/index.php/auth/birthCertificate/view/js/json_parse.js	(from http://crsorsgi-govt.in/web/index.php/auth/birthCertificate/view/B/bWF4VExRZC9GTnhBWkhtZTNrdWhUZz09.php?id=19001&cont=Anjsjdn)
14:06:55	5007/5007	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2024%20Dec%202022%2007:10:54%20GMT	http://crsorsgi-govt.in/web/index.php/auth/birthCertificate/view/js/jquery.ui.core.js	C:/My%20Web%20Sites/L/crsorsgi-govt.in/web/index.php/auth/birthCertificate/view/js/jquery.ui.core.js	(from http://crsorsgi-govt.in/web/index.php/auth/birthCertificate/view/B/bWF4VExRZC9GTnhBWkhtZTNrdWhUZz09.php?id=19001&cont=Anjsjdn)
